precipitation,radiation
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,17
0,201.3
0,611.9
0,1347.4
0,1510
0,2345
0,3907
0,3776.9
0,3793.3
0,2959.4
0,2617.2
0,1641.2
0,324.4
0,73.9
0,0
0,0
0,0
0,0
1.2,0
1.8,0
.2,0
0,0
.2,0
.6,0
.4,13.1
.2,134.1
.4,411.8
3.6,314.1
6.4,554.1
0,1068.3
0,894.2
0,1503.8
0,1162
10.6,797.7
0,1666.6
0,687.5
0,277.8
.2,23
0,0
.4,0
.2,0
.4,0
3,0
1.8,0
.2,0
2.6,0
0,0
0,0
0,15.4
0,266
0,669.5
0,1102
0,1600
0,1848.8
0,2153.4
0,1218.3
0,1664.5
0,834.7
.2,372.3
0,393.4
0,435.6
0,128.2
0,0
0,0
0,0
.4,0
3.2,0
0,0
0,0
0,0
0,0
0,0
.2,13.5
.2,130
0,318.8
0,910.2
0,1050
0,1367.2
0,1354.8
0,681.7
0,694.3
0,742.6
0,948.7
0,340.4
0,274
0,78.8
0,0
0,0
0,0
.2,0
0,0
0,0
0,0
0,0
0,0
.2,0
0,10.2
0,188.9
0,316.6
0,1172.4
0,677.6
0,1025.7
.4,658
1,699.6
.2,1141.4
0,659.2
0,749.3
0,295.3
0,240.2
0,47.1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,27.8
0,253.4
0,948.6
0,963
0,969.7
0,1813.7
0,1965.6
0,2191
0,1888.1
0,1973.3
0,1542.6
0,1015.5
0,252.3
0,26.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,17.3
0,201.7
0,638.3
0,1009.4
0,2271.2
0,3338.8
0,3795.2
0,3690.5
0,2738.5
0,2256.3
0,1279.5
3.8,62.3
9.6,508.1
0,162.1
0,0
0,0
0,.4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,24.2
0,501.9
0,1431.7
0,2262
0,2988
0,3173.8
0,3977.9
0,2754.9
0,2442.8
0,1738.9
0,1314.4
.4,1265.7
0,836.1
0,171
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,17
0,158.4
0,472.5
0,1609.2
0,2871.5
0,3459.2
0,3771.1
0,2899.9
0,1377.5
.2,1782.3
0,1425.7
0,972.8
0,290.1
0,90
0,.4
0,0
.2,0
0,0
0,0
.2,0
0,0
0,0
0,0
.8,0
.2,2.9
0,362
0,1340.9
0,855.5
0,1308.6
0,2958.6
0,2535.9
0,3431.9
0,2453
0,2469.7
0,1903
0,2014.6
0,853.6
0,61
0,0
0,0
0,0
0,0
0,0
0,0
.8,0
0,0
0,0
0,0
0,15.9
